Identificacion;Sucursal;Ciudad;Tipo de cliente;Genero;Categoria;Precio unitario;Cantidad;Impuesto 5%;Total;Fecha;Hora;Metodo de pago;cogs;Porcentaje de margen bruto;Ingresos brutos;Clasificacion
750-67-8428;A;Yangon;Miembro;Femenino;Salud y belleza;74.69;7;26.14;548.97;05/01/2019;13:08;Billetera electrónica;522.83;4.76;26.14;9.1
226-31-3081;C;Naypyitaw;Normal;Femenino;Accesorios electrónicos;15.28;5;3.82;80.22;08/03/2019;10:29;Dinero en efectivo;76.4;4.76;3.82;9.6
631-41-3108;A;Yangon;Normal;Masculino;Hogar y estilo de vida;46.33;7;16.22;340.53;03/03/2019;13:23;Tarjeta de crédito;324.31;4.76;16.22;7.4
123-19-1176;A;Yangon;Miembro;Masculino;Salud y belleza;58.22;8;23.29;489.05;27/01/2019;20:33;Billetera electrónica;465.76;4.76;23.29;8.4
373-73-7910;A;Yangon;Normal;Masculino;Deportes y viajes;86.31;7;30.21;634.38;08/02/2019;10:37;Billetera electrónica;604.17;4.76;30.21;5.3
699-14-3026;C;Naypyitaw;Normal;Masculino;Accesorios electrónicos;85.39;7;29.89;627.62;25/03/2019;18:30;Billetera electrónica;597.73;4.76;29.89;4.1
355-53-5943;A;Yangon;Miembro;Femenino;Accesorios electrónicos;68.84;6;20.65;433.69;25/02/2019;14:36;Billetera electrónica;413.04;4.76;20.65;5.8
315-22-5665;C;Naypyitaw;Normal;Femenino;Hogar y estilo de vida;73.56;10;36.78;772.38;24/02/2019;11:38;Billetera electrónica;735.6;4.76;36.78;8.0
665-32-9167;A;Yangon;Miembro;Femenino;Salud y belleza;36.26;2;3.63;76.15;10/01/2019;17:15;Tarjeta de crédito;72.52;4.77;3.63;7.2
692-92-5582;B;Mandalay;Miembro;Femenino;Comida y bebidas;54.84;3;8.23;172.75;20/02/2019;13:27;Tarjeta de crédito;164.52;4.76;8.23;5.9
351-62-0822;B;Mandalay;Miembro;Femenino;Accesorios de moda;14.48;4;2.9;60.82;06/02/2019;18:07;Billetera electrónica;57.92;4.77;2.9;4.5
529-56-3974;B;Mandalay;Miembro;Masculino;Accesorios electrónicos;25.51;4;5.1;107.14;09/03/2019;17:03;Dinero en efectivo;102.04;4.76;5.1;6.8
365-64-0515;A;Yangon;Normal;Femenino;Accesorios electrónicos;46.95;5;11.74;246.49;12/02/2019;10:25;Billetera electrónica;234.75;4.76;11.74;7.1
252-56-2699;A;Yangon;Normal;Masculino;Comida y bebidas;43.19;10;21.6;453.5;07/02/2019;16:48;Billetera electrónica;431.9;4.76;21.6;8.2
829-34-3910;A;Yangon;Normal;Femenino;Salud y belleza;71.38;10;35.69;749.49;29/03/2019;19:21;Dinero en efectivo;713.8;4.76;35.69;5.7
299-46-1805;B;Mandalay;Miembro;Femenino;Deportes y viajes;93.72;6;28.12;590.44;15/01/2019;16:19;Dinero en efectivo;562.32;4.76;28.12;4.5
656-95-9349;A;Yangon;Miembro;Femenino;Salud y belleza;68.93;7;24.13;506.64;11/03/2019;11:03;Tarjeta de crédito;482.51;4.76;24.13;4.6
765-26-6951;A;Yangon;Normal;Masculino;Deportes y viajes;72.61;6;21.78;457.44;01/01/2019;10:39;Tarjeta de crédito;435.66;4.76;21.78;6.9
329-62-1586;A;Yangon;Normal;Masculino;Comida y bebidas;54.67;3;8.2;172.21;21/01/2019;18:00;Tarjeta de crédito;164.01;4.76;8.2;8.6
319-50-3348;B;Mandalay;Normal;Femenino;Hogar y estilo de vida;40.3;2;4.03;84.63;11/03/2019;15:30;Billetera electrónica;80.6;4.76;4.03;4.4
300-71-4605;C;Naypyitaw;Miembro;Masculino;Accesorios electrónicos;86.04;5;21.51;451.71;25/02/2019;11:24;Billetera electrónica;430.2;4.76;21.51;4.8
371-85-5789;B;Mandalay;Normal;Masculino;Salud y belleza;87.98;3;13.2;277.14;05/03/2019;10:40;Billetera electrónica;263.94;4.76;13.2;5.1
273-16-6619;B;Mandalay;Normal;Masculino;Hogar y estilo de vida;33.2;2;3.32;69.72;15/03/2019;12:20;Tarjeta de crédito;66.4;4.76;3.32;4.4
636-48-8204;A;Yangon;Normal;Masculino;Accesorios electrónicos;34.56;5;8.64;181.44;17/02/2019;11:15;Billetera electrónica;172.8;4.76;8.64;9.9
549-59-1358;A;Yangon;Miembro;Masculino;Deportes y viajes;88.63;3;13.29;279.18;02/03/2019;17:36;Billetera electrónica;265.89;4.76;13.29;6.0
227-03-5010;A;Yangon;Miembro;Femenino;Hogar y estilo de vida;52.59;8;21.04;441.76;22/03/2019;19:20;Tarjeta de crédito;420.72;4.76;21.04;8.5
649-29-6775;B;Mandalay;Normal;Masculino;Accesorios de moda;33.52;1;1.68;35.2;08/02/2019;15:31;Dinero en efectivo;33.52;4.77;1.68;6.7
